ALGORITHM_NAME, SET_NUMBER(ELEMENTS_COUNTS), SHUFFLE_NUMBER, DURATION (NANOSECONDS), DURATION (MILLISECONDS) 
BUBBLE_SORT,1(100),1,374039,0
BUCKET_SORT,1(100),1,49035,0
HEAP_SORT,1(100),1,193292,0
INSERTION_SORT,1(100),1,128291,0
MERGE_SORT,1(100),1,161932,0
QUICK_SORT,1(100),1,74124,0
SELECTION_SORT,1(100),1,160221,0
SHELL_SORT,1(100),1,65001,0
BUBBLE_SORT,2(1000),1,8568690,8
BUCKET_SORT,2(1000),1,114037,0
HEAP_SORT,2(1000),1,5229706,5
INSERTION_SORT,2(1000),1,3138280,3
MERGE_SORT,2(1000),1,1317689,1
QUICK_SORT,2(1000),1,480093,0
SELECTION_SORT,2(1000),1,3947368,3
SHELL_SORT,2(1000),1,629481,0
BUBBLE_SORT,3(10000),1,188652587,188
BUCKET_SORT,3(10000),1,941940,0
HEAP_SORT,3(10000),1,2247086,2
INSERTION_SORT,3(10000),1,60002497,60
MERGE_SORT,3(10000),1,1617035,1
QUICK_SORT,3(10000),1,1824582,1
SELECTION_SORT,3(10000),1,68150394,68
SHELL_SORT,3(10000),1,4393250,4
BUBBLE_SORT,4(20000),1,1297231711,1297
BUCKET_SORT,4(20000),1,2009320,2
HEAP_SORT,4(20000),1,4644129,4
INSERTION_SORT,4(20000),1,77217422,77
MERGE_SORT,4(20000),1,2408448,2
QUICK_SORT,4(20000),1,2055505,2
SELECTION_SORT,4(20000),1,220224685,220
SHELL_SORT,4(20000),1,2987752,2
BUBBLE_SORT,5(40000),1,5266633482,5266
BUCKET_SORT,5(40000),1,1868485,1
HEAP_SORT,5(40000),1,9333874,9
INSERTION_SORT,5(40000),1,244093061,244
MERGE_SORT,5(40000),1,4936633,4
QUICK_SORT,5(40000),1,4152063,4
SELECTION_SORT,5(40000),1,936204654,936
SHELL_SORT,5(40000),1,6314192,6
BUBBLE_SORT,6(60000),1,12360167793,12360
BUCKET_SORT,6(60000),1,1707124,1
HEAP_SORT,6(60000),1,10304893,10
INSERTION_SORT,6(60000),1,548385901,548
MERGE_SORT,6(60000),1,7838857,7
QUICK_SORT,6(60000),1,6300508,6
SELECTION_SORT,6(60000),1,2089220316,2089
SHELL_SORT,6(60000),1,21251811,21
